source,model,task,T,rule,greedy,plain,loss,gain,lo,hi,acc
main_grid,llama-3.1-8b-instruct,gsm8k,1.3,top_p,76.0,47.333333333333336,28.666666666666664,18.666666666666664,10.666666666666668,26.666666666666664,66.0
main_grid,llama-3.1-8b-instruct,gsm8k,1.3,top_k,76.0,47.333333333333336,28.666666666666664,12.000000000000002,3.333333333333334,21.33333333333333,59.333333333333336
main_grid,llama-3.1-8b-instruct,gsm8k,1.3,min_p,76.0,47.333333333333336,28.666666666666664,24.666666666666664,17.333333333333336,32.0,72.0
main_grid,llama-3.1-8b-instruct,gsm8k,1.3,top_n_sigma,76.0,47.333333333333336,28.666666666666664,31.33333333333333,22.0,40.66666666666667,78.66666666666667
main_grid,llama-3.1-8b-instruct,mmlu_pro,0.7,top_p,50.0,48.0,2.0,4.666666666666667,-0.6666666666666663,10.666666666666668,52.666666666666664
main_grid,llama-3.1-8b-instruct,mmlu_pro,0.7,top_k,50.0,48.0,2.0,2.666666666666666,-4.666666666666666,9.999999999999998,50.66666666666667
main_grid,llama-3.1-8b-instruct,mmlu_pro,0.7,min_p,50.0,48.0,2.0,3.333333333333334,-3.333333333333334,11.333333333333332,51.33333333333333
main_grid,llama-3.1-8b-instruct,mmlu_pro,0.7,top_n_sigma,50.0,48.0,2.0,7.999999999999999,2.0000000000000004,14.0,56.00000000000001
main_grid,llama-3.1-8b-instruct,mmlu_pro,1.0,top_p,50.0,38.0,12.0,8.666666666666666,1.3333333333333326,16.0,46.666666666666664
main_grid,llama-3.1-8b-instruct,mmlu_pro,1.0,top_k,50.0,38.0,12.0,10.666666666666664,2.666666666666666,18.666666666666664,48.666666666666664
main_grid,llama-3.1-8b-instruct,mmlu_pro,1.0,min_p,50.0,38.0,12.0,9.999999999999998,3.9999999999999987,16.666666666666664,48.0
main_grid,llama-3.1-8b-instruct,mmlu_pro,1.0,top_n_sigma,50.0,38.0,12.0,14.0,6.666666666666666,21.999999999999996,52.0
main_grid,llama-3.1-8b-instruct,mmlu_pro,1.3,top_p,50.0,10.0,40.0,6.666666666666666,0.6666666666666665,13.333333333333332,16.666666666666664
main_grid,llama-3.1-8b-instruct,mmlu_pro,1.3,top_k,50.0,10.0,40.0,14.666666666666663,7.333333333333331,22.0,24.666666666666668
main_grid,llama-3.1-8b-instruct,mmlu_pro,1.3,min_p,50.0,10.0,40.0,29.33333333333333,20.0,39.33333333333333,39.33333333333333
main_grid,llama-3.1-8b-instruct,mmlu_pro,1.3,top_n_sigma,50.0,10.0,40.0,41.99999999999999,31.33333333333333,53.33333333333334,52.0
main_grid,mistral-7b-instruct-v0.3,gsm8k,0.7,top_p,28.000000000000004,31.333333333333336,-3.333333333333332,-5.333333333333334,-12.666666666666668,1.999999999999999,26.0
main_grid,mistral-7b-instruct-v0.3,gsm8k,0.7,top_k,28.000000000000004,31.333333333333336,-3.333333333333332,0.6666666666666654,-8.666666666666668,9.333333333333332,31.999999999999996
main_grid,mistral-7b-instruct-v0.3,gsm8k,0.7,min_p,28.000000000000004,31.333333333333336,-3.333333333333332,-2.0000000000000004,-7.999999999999999,3.9999999999999996,29.33333333333333
